,Datetime,Temperature,Humidity,Speed_wind,GeneralDiffuseFlows,DiffuseFlows,Area_1,Area_2,Area_3
0,1/1/2017 0:00,6.559,73.8,0.083,0.051,0.119,34055.6962,16128.87538,20240.96386
1,1/1/2017 0:10,6.414,74.5,0.083,0.07,0.085,29814.68354,19375.07599,20131.08434
2,1/1/2017 0:20,6.313,74.5,0.08,0.062,0.1,29128.10127,19006.68693,19668.43373
3,1/1/2017 0:30,6.121,75.0,0.083,0.091,0.096,28228.86076,18361.09422,18899.27711
4,1/1/2017 0:50,5.853,76.9,0.081,0.059,0.108,26624.81013,17416.41337,18130.12048
5,1/1/2017 1:10,5.496,78.2,0.085,0.055,0.093,25446.07595,16661.39818,17459.27711
6,1/1/2017 1:20,5.678,78.1,0.081,0.066,0.141,24777.72152,16227.35562,17025.54217
7,1/1/2017 1:30,5.491,77.3,0.082,0.062,0.111,24279.49367,15939.20973,16794.21687
8,1/1/2017 1:40,5.516,77.5,0.081,0.051,0.108,23896.70886,15435.86626,16638.07229
9,1/1/2017 1:50,5.471,76.7,0.083,0.059,0.126,23544.3038,15213.37386,16395.18072
10,1/1/2017 2:00,5.059,78.6,0.081,0.07,0.096,23003.5443,15169.60486,16117.59036
11,1/1/2017 2:10,4.968,78.8,0.084,0.07,0.134,22329.11392,14710.0304,15822.6506
12,1/1/2017 2:20,4.975,78.9,0.083,0.055,0.152,22092.1519,14421.8845,15672.28916
13,1/1/2017 2:30,4.897,79.1,0.083,0.07,0.096,21903.79747,14104.55927,15597.10843
14,1/1/2017 2:40,5.02,79.7,0.081,0.051,0.134,21685.06329,13965.95745,15510.36145
15,1/1/2017 2:50,5.407,78.5,0.082,0.062,0.163,21484.55696,13612.15805,15336.86747
16,1/1/2017 3:00,5.169,77.9,0.083,0.066,0.108,21107.8481,13535.56231,15140.24096
17,1/1/2017 3:10,5.081,77.7,0.084,0.051,0.13,20998.48101,13371.42857,15059.27711
18,1/1/2017 3:20,5.041,77.2,0.081,0.062,0.152,20870.88608,13196.35258,15013.01205
19,1/1/2017 3:30,5.034,76.9,0.083,0.051,0.185,20870.88608,13167.17325,14897.3494
20,1/1/2017 3:40,4.896,76.6,0.085,0.07,0.137,20597.46835,13137.99392,14602.40964
21,1/1/2017 3:50,4.805,76.2,0.081,0.059,0.134,20421.26582,12908.20669,14590.84337
22,1/1/2017 4:00,4.753,75.7,0.083,0.044,0.134,20524.55696,12820.66869,14585.06024
23,1/1/2017 4:10,4.901,74.4,0.083,0.07,0.122,20482.02532,13032.21884,14452.04819
24,1/1/2017 4:20,5.203,74.1,0.085,0.062,0.096,20530.63291,12926.44377,14232.28916
25,1/1/2017 4:30,5.394,71.9,0.081,0.073,0.1,20512.40506,12948.32827,14157.10843
26,1/1/2017 4:40,5.156,74.0,0.079,0.062,0.148,20494.17722,12922.79635,14232.28916
27,1/1/2017 4:50,5.179,74.2,0.083,0.037,0.137,20311.89873,12879.02736,14243.85542
28,1/1/2017 5:00,4.934,72.9,0.082,0.055,0.134,20542.78481,12806.07903,14243.85542
29,1/1/2017 5:20,5.546,74.0,0.082,0.055,0.093,20627.8481,12842.55319,14266.98795
30,1/1/2017 5:30,4.658,73.5,0.08,0.044,0.104,20797.97468,13137.99392,14353.73494
31,1/1/2017 5:50,4.212,78.3,0.081,0.117,0.082,21393.41772,13575.68389,14862.6506
32,1/1/2017 6:00,4.308,77.2,0.081,0.062,0.126,22219.74684,14068.08511,14908.91566
33,1/1/2017 6:10,4.735,74.3,0.08,0.04,0.156,21928.10127,13852.88754,14729.63855
34,1/1/2017 6:30,4.92,73.7,0.083,0.099,0.096,21654.68354,13582.97872,14480.96386
35,1/1/2017 6:50,4.29,77.0,0.085,0.033,0.193,20846.58228,12908.20669,14018.31325
36,1/1/2017 7:00,4.304,76.0,0.082,0.048,0.152,19983.79747,12342.85714,13492.04819
37,1/1/2017 7:10,4.513,74.6,0.084,0.055,0.134,18908.35443,11897.87234,12630.36145
38,1/1/2017 7:20,4.489,74.3,0.082,0.081,0.119,18167.08861,11551.36778,11600.96386
39,1/1/2017 7:30,4.356,72.3,0.082,0.07,0.119,18075.94937,11263.22188,10640.96386
40,1/1/2017 7:40,4.478,72.2,0.083,0.073,0.089,18063.79747,10719.75684,10455.90361
41,1/1/2017 7:50,4.583,71.0,0.083,0.066,0.104,18045.56962,10924.01216,10496.38554
42,1/1/2017 8:00,4.794,72.0,0.084,0.187,0.145,18385.82278,10949.54407,10710.36145
43,1/1/2017 8:20,4.757,73.5,0.083,3.188,3.134,19576.70886,11733.7386,10941.68675
44,1/1/2017 8:30,4.509,74.5,0.084,6.643,6.494,19837.97468,11945.28875,11178.79518
45,1/1/2017 8:40,4.346,74.8,0.082,12.64,10.13,20166.07595,12029.17933,11514.21687
46,1/1/2017 8:50,4.718,73.7,0.081,58.97,17.0,20676.4557,12426.74772,11959.51807
47,1/1/2017 9:00,4.704,71.8,0.083,82.5,20.15,21296.20253,12871.73252,12283.37349
